# Code generated by cmd/gen-cities from GeoNames cities1000 (CC-BY 4.0). DO NOT EDIT.
# Regenerate with `make gen-cities`. Columns: canonical-name<TAB>country<TAB>alias|alias|...<TAB>population
# Population is what lets the loader treat a small place as evidence-only: see cities.go.
Mumbai	in	asumumbay|bamba'i|bmbyy|bombai|bombaim|bombaj|bombay|bombaya|bombej|bombejus|bombėjus|bumbaj|bwmbay|bůmbaj|dakbayan sa bombay|gretara mumba'i|lungsod ng mumbai|meng mai|mmbay|mmbyy|moembaai|muba'i|mum bi|mumba'i|mumbai|mumbaj|mumbaja|mumbajo|mumbajus|mumbay|mumbaî|mumpai|munbai|mwmbay|mwmbyy|mymbais|numbai|pullapa mumba'i|vomvai|бомбай|бомбей|мумбаи|мумбай|мумбаі|мумбаї|мумбај	12691836
São Paulo	br	cavo pavulo|sa'o pa'ulo|sa'o paulo|sampa|samu pa'ulu|san paolo|san paul ed brasil|san paulas|san paulo|san paulu|san paulu du brasili|san paulu dû brasili|san pauluw|san pawlo|san polo del braxil|san poulo|san poło del braxil|san pàul ëd brasil|san-paulo|san-paulu|san-paŭlo|sangpaollo|sangpaollu|sangpaullo|sangpaullu|sankt. paulos|sanpaulu|sanpauro|sao paolo|sao paulo|sao paulo capital|saun paulu|savea pealea|savo palo|saw bawlw|saw palw|saw pawlw|saw pwlw|sawo palo|sawo pålo|saywpaywlw|sea pea lu|sheng bao luo|são paolo|são paulo|são paulo capital|urbs paulistana|сан пауло|сан паулу|сан-паулу|сан-паўлу|сао паоло|сао пауло	12400232
Mexico City	mx	cdmx|cidade de mexico|cidade de méxico|cidade do mexico|cidade do méxico|cita du messicu|citta del messico|città del messico|cità dû messicu|cità dû mèssicu|ciudad de mejico|ciudad de mexico|ciudad de méjico|ciudad de méxico|ciudad mexico|ciutat de mexic|ciutat de mèxic|grad mexico|lungsod ng mexico|lungsod ng méxico|mdynt mksykw|megsiko si|megsikositi|mehiko|mekhiko|mekishikoshiti|meksikas|meksiko|meksiko siti|meksikositi|meksikurbo|meksyk|mexico|mexico by|mexico city|mexico d.f.|mexico df|mexico distrito federal|mexico-stad|mexicopolis|mexiko|mexiko hiria|mexiko-stadt|mexikoborg|mexíkóborg|mkzykw|mkzykwsyty|mo xi ge cheng|mqsyqw syty|méxico|méxico distrito federal|nkoyo|pole tou mexikou|valle de mexico|valle de méxico|мексико|мексико сити|мехико|мехіко	12294193
Karachi	pk	carachi|ka la qi|ka ra ci|kalachi|karaaci|karaaji|karacci|karaces|karachi|karachy|karaci|karacio|karacis|karacsi|karaczi|karanchi|karasi|karatschi|karatshy|karatsi|karatsji|karatxi|karaçi|karaĉio|karači|karačis|karačės|karochi|karáči|karáčí|karâchi|karāchi|karāči|ke la chi|keraci|keraçî|krachy|kratshy|kurrachee|kurrachi|kəraçi|pechs|карачи|карачы|карачі	11624219
Tianjin	cn	cheonjin|t'ien-chin|t'ien-ching|t'ien-ching-shih|tchien-tin|tchien-ťin|tehnd'iin|theiyn cin|thien tan|thien-tsin|thiên tân|thiên-tsîn|ti'anjina|tian jin|tian jin shi|tiandzinas|tianjin|tianjin shi|tianjing|tianjín|tiantzin|tiencin|tiencsin|tiendzin|tientsin|tiençin|tiyanajina|tiyanijini|tiyanjin|tjan'czin'|tjandzin|tjandzina|tjandžin|tjangino|tjanĝino|tjaņdziņa|tjencin|tyan'czin'|tyanjina|tyanjn|tyanjyn|tyantszin|tyenjin si|tyyng'yn|t’ien-chin|t’ien-ching|t’ien-ching-shih|тиендзин|тэндьиин|тяньцзинь|тяньцзінь|тјенцин	11090314
Delhi	in	daehli|de li|dehali|dehli|dehlī|delchi|delhi|delhio|delhí|delhî|deli|delis|delkhi|delli|dellium|delí|deri|dhilli|dhly|dhly qdym|dil'hi|dilhi|dili|dilli|dillí|dillī|dlhy|dly|dylhy|dähli|déhli|faritani delhi|na'i dilli|new delhi|old delhi|sahdzahanabad|stare deli|tilli|šáhdžahanabád|дели|делхи|делі|деҳли|дэлі|старе делі	11034555
Wuhan	cn	bu-han-chhi|bú-hàn-chhī|gouchan|owhan|u-hang|uhan|uhan si|uhana|uhanas|uhaņa|ukhan|ukhan'|ukhani|uuxan|uxan|vu han|vu-hon-su|vuhan|vuhana|vuhani|vuhano|vujhan|vukan|vukhan|vukhana|vú-hon-sṳ|vũ hán|whan|wu han|wu han shi|wu-chan|wu-han-shih|wuhan|wuhan shi|wwhan|xu han|ū-háng|вухан|вухан балһсн|ухан|ухань|үkhan'|үхань|үһән	10392693
Moscow	ru	maeskuy|maskav|maskava|masko|maskva|maskw|mat-xco-va|matxcova|matxcơva|mo si ke|mosca|moscfa|moscha|mosco|moscou|moscova|moscovo|moscow|moscoƿ|moscu|moscua|moscòu|moscó|moscù|moscú|moseukeuba|moska|moskau|mosko|moskokh|moskou|moskov|moskova|moskovu|moskow|moskowa|mosku|moskua|moskuas|moskva|moskvo|moskwa|mosukuwa|moszkva|mskw|muskav|musko|mwskva|mwskw|mwsqbh|mx s ko|mát-xcơ-va|mòskwa|məskeu|məskəү|мæскуы|маскав|масква|москва|москова|москох|москъва|мускав|муско|мәскеу|мәскәү	10381222
Dhaka	bd	da ka|daaka|daca|dacca|daka|dakah|dakk|dakka|dakkae|dakke|dako|deka|dgaka|dhaka|dhakka|dháka|dhâkâ|dka|dəkkə|mujib city|ntaka|ntakka|takka|thaka|даака|дака|даккæ|дакка|дакке|дгака	10356500
Seoul	kr	ciyol|gyeongseong|han-yang|hanseong|hanyang|saul|seoel|seol|seoul|seoul-si|seoulsi|seoulteugbyeolsi|seuel|seul|seula|seulas|seuli|seulo|seulum|seúl|seül|shou er|shou er te bie shi|si'ula|siul|siyola|soeul|sol|sola|soul|souru|souru te bie shi|sye-ul|syou-ouen|sywl|szoeul|szöul|séoul|sêûl|söul|sŏul|wang-ching|wo-jo|wō-jō|сеул|соул|сөүл	10349312
Tokyo	jp	dokyo|dong jing|dong jing dou|dong-gyeong|edo|tochiu|tocio|tokeiyw|toki'o|tokija|tokijas|tokio|tokió|tokkiyo|tokyo|toquio|twkyw|twqyw|tòquio|tókýó|tóquio|tōkyō|токио|токіо	9733276
Dongguan	cn	deng-uang|dong guan|dong guan shi|dong wan shi|donggu'ana|dongguan|dongguan city|dongwen shehiri|dung-gwan si|dunguan|dunguan'|dwnghqwan|dwngwan|dĕ̤ng-uāng|gjong hoan|ntonkouan|tong-koan-chhi|tong-kóan-chhī|tonkuvan|tung-kon-su|tung-kuan|tungkuan|tungkun|tûng-kón-sṳ|đông hoản|донггуан|дунгуан|дунгуань|дунґуань	9644871
Cairo	eg	al qahirah|al qāhirah|alqahrt|caire|cairo|cairu|cairus|caïro|el caire|el cairo|el kahira|el kahirah|el-qahira|el-qâhira|gahire|il cairo|kaherah|kahira|kahirae|kahire|kahirä|kai luo|kailo|kair|kaira|kairas|kairo|kairó|kajro|kayaro|kayro|kaíró|kaïro|keyro|khiro|káhira|le caire|lo cayiro|lungsod ng cairo|masr|misr|o cairo|qahirə|qahrh|qhyr|ël cairo|ël càiro|каир|каиро|кайро|каїр	9606916
Xi’an	cn	ch'ang-an|ch'ang-an-hsien|ch’ang-an|ch’ang-an-hsien|hsi gnan fu|hsi-an|hsi-an-shih|hsi-ching|hsi-ching-shih|hsingan|jiyana|shyan|si xan|si'ana|si-gan-fu|sian|sian si|sian'|siana|sianas|sianfu|siano|siaņa|siking|singan|singano|siyani|sjan|syan|tay an|tây an|xi an|xi an shi|xi'an|xi'an - xi an|xi'an shi|xian|xi’an|xi’an shi|xī'ān|ŝiano|ŝingano|šjan|сиань|сіань	9600000
Johannesburg	za	cohannes beirk|egoli|giochanesmpournk|igoli|ijohannesburg|ioannesburgum|iohanesburgi|jo'anna|joanesburgo|joburg|jog'annesburg|joganesburg|jogannesburg|johanesabarga|johanesburgas|johanesburgo|johanisabaraga|johannesarborg|johannesbarga|johannesbourg|johannesburg|johannesburga|johannesburgo|johannesburgu|johansabarga|jokanasperk|jokhanesburg|jokhanezburg|jokhannesburg|jwhansbrgh|jwhansbrj|j·ohanesbôrg|jóhannesarborg|xohanesburgo|yohaneseubeogeu|yohanesuburugu|yohannesburg|yohannesburq|yohannésburg|yok-hon-ni-su-pau|yok-hon-nì-sṳ̂-páu|yoxannesburg|yue han nei si bao|yue han ni si bao|ywhnsbwrg|zhwhansbwrg|йоганнесбург|йогьаннесбург|йоханесбург|йоханнесбург|ёганесбург|јоханезбург|јоханесбург	9418183
Nanjing	cn	hnan cing|lâm-kiaⁿ-chhī|nam kinh|nam-kin-su|namgyeong|namkin|nan jing|nan jing shi|nan'czin|nan'zhin|nan-ching|nan-ching-shih|nanajiga|nanajim|nanajinga|nanchino|nanchinum|nancin|nandzing|nandzjina|nandžing|nang-ging|nanjina|nanjing|nanjing shi|nanjing si|nanjinga|nanjng|nanjyng|nanjyngh|nankijn|nankin|nankinas|nanking|nankingo|nankín|nanquim|nanquin|nanquín|nantsin'nk|nanzging|naņdzjina|nnjng|nàm-kîn-sṳ|nàng-gĭng|нанкин|нанкинг|нанкін|наньжин|наньцзин|нәнҗиң	9314685
Hangzhou	cn	chan'nktsoou|chang-cou|chang-čou|hancheum|hanchow-fu|hanczou|handzou|handžou|hang|hang chau|hang cow|hang zhou|hang zhou shi|hang-chiu-chhi|hang-chou|hang-chou-shih|hang-hsien|hangacau|hangajho'u|hangchow|hangcsou|hangdzou|hangdžou|hanggouo|hanghtshw|hangjeou|hangjeou si|hangju|hangtsjou|hangzcouh|hangzhou|hangzhou city|hangzhou shi|hangzhw|hangĝoŭo|hanjha|hannaco|hančžou|hong-chu-su|hong-ciu|hyanjha'o|hàng châu|hâng-chiu-chhī|hòng-chû-sṳ|hòng-ciŭ|kancu|khanchzhou|khandzhou|khangdzou|khangzhou|khanzhou|xanchjou|xangzhou|хангџоу|ханджоу|ханжоу|ханчжоу	9236032
Foshan	cn	fachan|fak san|fatshan|fo shan|fo shan shi|fo-san|fo-shan-chen|fo-shan-shih|fo-šan|fosan|fosanas|foshan|foshan city|foshan'|fosjan|foŝan|fošanas|fu shan|fu shan shi|fu-shan-chen|fuk shan|fut shan|fut-san-su|fu̍t-sân-sṳ|fwshan|hotokeyama|huk-sang|hut-san-chhi|hu̍t-san-chhī|hŭk-săng|namhoi|nan-hai|nanhai-hsien|nanhoi|nom hoy|phat son|phật sơn|pocan|posan si|фошан|фошань	9042509
London	gb	ilantan|ilondon|ladana|lakana|landan|landana|landen|leondeon|ljondan|llundain|lndn|lodoni|londain|londan|londar|londe|londen|londin|londinium|londino|londn|london|london osh|londona|londonas|londoni|londono|londons|londonu|londra|londres|londrez|londri|londro|londye|londyn|londýn|lonn|lonton|lontoo|lontra|loundres|luan gjon|lun dui|lun dun|lun-tun|lunden|lundra|lundun|lundunir|lundúnir|lung-dung|lunnainn|lunnin|lunnon|luân đôn|lwndwn|lxndxn|lùn-tûn|lùng-dŭng|lûn-tun|lākana|lůndůn|lọndọnu|ranana|rondon|rānana|łondra|лондан|лондон|лондон ош|лондонъ|лёндан	8961989
New York City	us	aebura|bandar raya new york|big apple|cathair nua-eabhrac|city of new york|eabhraig nuadh|efrog newydd|evrek nowydh|ga-no-no|kanon:no|kanono|kanón:no|kota new york|lungsod ng new york|manhattan|n'ju-jork|n'yuyorka|nea yorke|nei yarrick schtadt|neu amsterdam|neu jorck|new amsterdam|new orange|new yorc|new york|new york borg|new york city|new york kenti|new york stad|new york-borg|new yorke|new yorku|ni'u iyarka siti|niu yue|niu yue shi|niujorkas|niyuyark nakaram|nju jork|njujork|nkhr niwyxrk|nouvelle yorck|nouvieau york|nov-jorko|nova amsterda|nova iorque|nova york|nova-york|novjorko|novum eboracum|nowy jork|nua-eabhrac|nueva york|nujorka|nuova york|nyja jorvik|nyu york shehiri|nyuyog|nyuyog si|nyuyoku|nyw ywrq|nywywrk|nòva york|nýja jórvík|thanh pho new york|the big apple|thành phố new york|york berri|ņujorka|нью-йорк|нью-ёрк|ню йорк|њу јорк|њујорк	8804190
Jakarta	id	ba da wei ya|batavia|batavuia|big durian|cakarta|d'akarta|daerah khusus ibukota jakarta|djakarta|djogkarta|dki jakarta|dzakarta|dzhakarta|dzhakartae|dżakarta|džakarta|g'qrth|gakarto|giacarta|iacarta|iacárta|jacarta|jakaleuta|jakarata|jakarta|jakarte|jakartta|jakartè|jakaruta|jayakarta|jkarta|jogkarta|koningin van het oosten|new york van java|nga-ka-that su-tu thit-khi|ngâ-kâ-tha̍t sú-tû thi̍t-khî|sakata|sunda kelapa|sundapura|tzakarta|wu jiao wei|xacarta|xhakarta|ya jia da|yajgyadaz|yakarta|ye jia da|zhakarta|ĝakarto|джакартæ|джакарта|дьакарта|жакарта|џакарта	8540121
Bengaluru	in	baeng-geollo|bagalaura|ban jia luo er|ban'nkalor|bang kha l xr|bang-galloleu|bangalaura|bangalor|bangalora|bangalore|bangalore city|bangalur|bangalura|bangaluri|bangalúr|bangaroru|beng-gallulu|bengalora|bengalour|bengaluras|bengaluro|bengaluru|bengalurus|bengalúru|bengalūras|bengalūru|benguluru|bnghalwr|bnglwr|bynglwr|penkalur|бангалор|бенгалуру|бенґалуру	8495492
Hanoi	vn	anoi|anoy|anòy|ganoj|ha noi|ha nui|hano'i|hanoi|hanoj|hanoja|hanojo|hanojus|hanoy|hanoí|hanoï|hanwy|hanxy|hanòi|hanói|he nei|he nei shi|ho-nui-su|hyanaya|hà nội|hò-nui-sṳ|ke cho|kecho|keicho|kescio|kesciò|khanoj|khanwy|kẻ chợ|thang long|thăng long|ганой|ханой|ханој|ḥanoi	8053663
Taipei	tw	gjai bac|kota taipei|pan kiao|pan-ch'iao|pan-ch'iao-chen|pan-ch'iao-chieh|pan-ch’iao|pan-ch’iao-chen|pan-ch’iao-chieh|t'ai-pei|t'ai-pei shih|t'ai-pei-hsien|ta'ipe|ta'ipe'i|tai bei|tai bei shi|taibei|taibei shi|taibei shih|taibei si|taibejus|taibėjus|taipe|taipeh|taipei|taipeia|taipeium|taipejus|taippei|taipé|taipéi|taipėjus|tajbehj|tajbej|tajpej|tajpeo|taybyh|tayipeh|tayipèh|taypey|tchaj-pej|thipe|t’ai-pei|t’ai-pei shih|t’ai-pei-hsien|đài bắc|тайбей|тайбэй|тайпей|тајпеј	7871900
Lima	pe	li ma|lim|lima|limae|limaq|lime|limma|limo|lioma|lungsod ng lima|lyma|lymh|lìmma|líma|líoma|lîma|rima|лимæ|лима|лиме|ліма	7737002
Bogotá	co	bagata|beageatta|bo ge da|bogot|bogota|bogoto|bogotà|bogotá|bokota|boqota|buoguota|bwghwta|bwgwta|bwgwth|bwjwta|bógóta|mponkota|pokotta|santa-fe-de-bogota|santafe de bogota|santafe de bogotá|santafé de bogotá|wukuta|багата|богота|боґота|санта-фе-де-богота	7674366
Chongqing	cn	cankim|caungakiga|cchung-cching|ceancin|ch'ung-ch'ing|ch'ung-ch'ing-shih|chng ching|chongking|chongqing|chongqing (chongqing shi)|chongqing - zhong qing|chongqing shi|chuncin|chungching si|chungking|chwng kng|chwng kyng|chwngchng|ch’ung-ch’ing|ch’ung-ch’ing-shih|congachinga|congcing|congcingas|congcingo|congkinga|conkin|csungking|cuncjina|cunkinq|pa-hsien|trung khanh|trùng khánh|tshung-khin|tshwnghtshyngh|tshùng-khin|tsjoengking|yu-chou|yuzhou|yü-chou|z'wngz'yng|zhong qing|zhong qing shi|çongçing|çunkinq|ĉongĉingo|čchung-čching|čongčing|čongčingas|čuncjina|чунгкинг|чунцин|чунцін	7457599
Hong Kong	hk	ankan|chon'nk kon'nk|gankong|gon kong|gonkong|hamga kamga|hanakana|hang kang|hang kang nagaram|hangakanga|hang‌kang|hankam|heankean|heung gong|hiong-geng|hiŏng-gē̤ng|hng kng|hon'ga kon'ga|hong kong|hongakonga|hongkong|honkong|honkongo|honkongu|hwng kwng|hwng qwng|hwngh kwngh|hwnj kwnj|hxngkng|hồng kông|khongkong|khonkong|shyanggang|victoria|xiang gang|xianggang|ганконг|гонконг|хонгконг|хонконг|һoң koң|һоң коң	7396076
Baghdad	iq	ba ge da|bagadada|bagda|bagdad|bagdadas|bagdado|bagdat|bagdate|bagdatum|bagdod|bagdá|bagdád|bageudadeu|baghdad|baghdād|bagudado|bağdad|bağdat|beghdad|bexda|bghdad|lungsod ng baghdad|paktat|багдад|бағдод	7216000
Wuzhong	cn	uchzhun|uchzhunpu|wu zhong|wu zhong shi|wu zhong zhen|wu-chung|wu-chung-p'u|wu-chung-pao|wu-chung-p’u|wu-chung-shih|wuzhong|wuzhong xian|wuzhong zhen|учжун	7202654
Qingdao	cn	cching-tao|ch'ing-tao|ch'ing-tao-shih|chheng-to-chhi|chheng-tó-chhī|chindao|ching tea|ching-do|chingdao si|chyngdaw|chyng‌dayw|chĭng-dō̤|ch’ing-tao|ch’ing-tao-shih|cindao|cingada'o|cingdao|cjindao|csingtao|kigada'o|kuyintavo|qing dao|qing dao shi|qingdao|qingdao shi|sindao|thanh gjao|thanh đảo|tshynghdaw|tsin'nktao|tsingtao|tsingtau|čching-tao|čingdao|циндао|ціндао|чиндао|чиңдау|ћингдао	7172451
Tehran	ir	de hei lan|taekhran|tahran|techerane|teera|teerao|teerã|teerão|tegeran|teharan|teharana|tehelan|teheran|teherana|teheranas|teherano|teherán|teherāna|tehran|tehrano|teirani|tekheran|thran|thrn|thrwn|tihran|téhéran|тæхран|тегеран|техеран|теҳрон	7153309
Shenyang	cn	cenyan|chen yang|chen yang shi|feng-t'ien|feng-t’ien|moukden|mukden|san'yanga|sein hyang|sen'gian'nk|sen'yan|sen-jang|sena'iyam|senayanga|senjana|senjang|senjangas|senjango|senyanq|seon-yang|seon-yang si|shehn'jan|shehn'jan khot|shen yang|shen yang shi|shen'jan|shen-yang-hsien|shen-yang-shih|shengking|shenjang|shenyan|shenyang|shenyang shi|shnyang|shnyangh|shunjan|shyn yang|shynyang|sim-iong-chhi|sim-yang|sing-iong|sjenyang|swnjyangh|sím-iông-chhī|sīng-iòng|tham duong|thẩm dương|ŝenjango|şenyanq|šen-jang|šenjangas|šeņjana|шеньян|шеньяң|шенјанг|шънян|шэньян|шэньян хот	7050000
Hyderabad	in	bhaganagar|hai de la ba|haidarabada|haidarabadas|haidarabadu|haiderabad|haiderabado|haitarapat|hajdarabad|hajdarábád|hajderabad|hayadarabada ema. karporesana|hayadrabada|hyderabad|hyderabad ap|hyderābād|hydr abad|hydr abad dkn|hydrabad|khajdarabad|khajderabad|хайдарабад|хајдерабад	6993262
Rio de Janeiro	br	ciutat de rio de janeiro|iriyo ti ceniro|li yue re nei lu|liudejaneilu|rath ri xode ca ne ro|ri xode ca ne ro|ri'o di janero|ri'o di jeneri'o|ri'o di jeniro|rio|rio d janeiro|rio de janeiro|rio de janeiru|rio de janero|rio de janeyro|rio de janèro|rio de janêro|rio de zaneiras|rio de zaneiros|rio de zaneyro|rio de zhaneiro|rio de zhanejro|rio de žaneiras|rio dé janéyro|rio dė žaneiros|rio nte tzaneiro|rio-de-janeiro|rio-de-janejro|rio-de-janeyro|rio-de-zaneiro|rio-de-zanejro|rio-de-zaneyro|rio-de-zhaneiro|rio-de-zhanejro|rio-de-ĵanejro|rio-de-žaneiro|rio-de-žaneýro|riodejaneiro|riodezaneiro|riodežaneiro|rios. dis. djaneiros|riu de janeiro|riu de janeiru|riviethe de janvyi|riviéthe dé janvyi|riyea di janirea|riyo di janairo|riyo di janero|riyo di jeneriyo|riyo di jenero|riyo di jyaneriyo|rya-deh-zhanehjra|ryw dh znyyrw|ryw dw zhanyrw|ryw dwzhanyrw|ryw dy janyrw|río de janeiro|sao sebastiao do rio de janeiro|são sebastião do rio de janeiro|urbs fluminensis|рио де жанеиро|рио де жанейро|рио де жанејро|рио-де-жанейро|рыа-дэ-жанэйра|ріо де жанейро|ріо-де-жанейро	6747815
Suzhou	cn	cuco|so-chiu-chhi|soochow|soutsoou|so͘-chiu-chhī|ssujeou si|su cow|su zhou|su zhou shi|su-chou|su-chu-su|su-ciu|su-cou|su-čou|suchjou|suchzhou|sudzhou|sudzou|sudžou|sugouo|sujho'u|sutsjou|suzhou|suzhou i jiangsu|suzhou shi|suzu|suĝoŭo|swjw|swzhw|swzhww|szucsou|sû-chû-sṳ|sŭ-ciŭ|to chau|tô châu|wu-hsien|суджоу|сучжоу|сучжоў|суџоу|сүжоу	6715559
Puxi	cn	pu xi|puxi	6683712
